,rms_spike,rms_lfp,gamma,alpha,beta,delta,theta,peaks,targets
49,0.0914000328187,7.90335091894,15.6028664097,107.25761587,44.5468124562,47.9847699385,84.3648363841,27.0,caudate putamen
50,0.095915836827,7.44883323297,15.314593211,97.7565453345,42.2823475308,43.666721505,76.516473878,20.0,caudate putamen
51,0.0944391749264,7.99890898774,15.2167456453,110.875018517,45.2883296438,48.5775668378,86.8623613702,19.0,caudate putamen
52,0.095480411024,8.24317018446,15.6733525354,114.51067469,46.4349134335,49.8821697308,89.7972491043,23.0,caudate putamen
53,0.0999841664115,8.01518394898,15.2116230694,111.711789848,45.1149371612,48.6543603046,87.6197181515,27.0,caudate putamen
54,0.101830797626,7.79814579138,15.3344541517,105.246929969,43.6650878738,46.1861468269,82.46126963,32.0,caudate putamen
55,0.0921592600162,8.3673012175,15.4098172299,118.151573215,46.3316152588,50.986549601,92.7367852324,26.0,caudate putamen
56,0.096103618104,7.8318200999,15.4801090236,104.818667152,43.2988308796,46.3056180682,82.3485345647,34.0,caudate putamen
57,0.102816639381,8.13500941838,15.6047902778,112.648772318,45.7213057713,48.9289927508,88.1794659028,21.0,caudate putamen
58,0.0916928311344,7.74251536484,15.5771503587,104.431347768,42.9856822644,45.4766268909,81.748414429,37.0,caudate putamen
59,0.0919140468336,7.74490340245,15.2549961253,104.463730905,43.008431378,44.8442238421,81.4722385638,34.0,caudate putamen
60,0.0961029220572,7.84736014098,15.8438605891,106.653684959,43.597435171,45.8555192067,83.3477892454,32.0,caudate putamen
61,0.0980656085644,7.46615534963,14.8892035839,100.175963506,41.5110706393,44.0926734795,78.4676321701,37.0,caudate putamen
62,0.0948219335795,7.8544556083,15.6909137153,107.630099072,43.8606491217,45.8210668714,83.853865802,34.0,caudate putamen
63,0.0986686406542,7.59720606874,15.1389577755,103.150493994,42.4196816403,44.3102723955,80.2572340467,31.0,caudate putamen
64,0.0954620703379,7.77162389937,14.7666083136,106.184495965,43.7001134352,45.760133558,82.8028482268,31.0,caudate putamen
65,0.0996235032796,7.35083054591,13.7601842808,102.888027184,41.1998897722,44.6125183814,80.5073606527,28.0,caudate putamen
66,0.0975398849459,7.77383198239,14.4683756894,108.17773817,43.4140809078,47.1044772857,84.8421529224,23.0,caudate putamen
67,0.0919497813588,5.65287043555,12.0973838727,72.0089702941,31.8741489291,31.0233167085,55.65669601,28.0,caudate putamen
68,0.102551946169,6.4667354715,13.4400651237,84.1063796588,36.8145500031,36.6348240254,65.2005575695,34.0,caudate putamen
69,0.0943629021252,7.33501889127,12.7158083705,104.349120835,41.0211095518,45.7291839738,82.1912639054,19.0,caudate putamen
70,0.092148497136,6.35612422662,12.2186443528,86.311901699,35.9639674808,37.7574922764,67.3834552659,31.0,caudate putamen
71,0.104508345149,6.31709103407,11.853512785,86.5048165246,35.2421395409,37.8203005511,67.7456843388,15.0,caudate putamen
72,0.099213277911,6.99156531713,12.7528437462,98.9913867849,39.9149792122,42.6512520353,77.3100192828,26.0,caudate putamen
73,0.107504192011,6.55948888647,11.7022881725,91.0494637244,36.8403114941,39.8686965107,71.4483856953,23.0,caudate putamen
